Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1738831424964,5116.624923706055,3200,1,0.99375,59510.196548461914,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,0,0,61.77064514160156,0,81.47955322265625,0,8.189254760742188,0,23.528793334960938,28.168655395507813,10.054695129394531,0,0,0,23.582290649414063,13.465095520019531,17089679360,11274289152,6882893824,0
199,1738831424965,5116.646667480469,3200,1,0.99375,59510.36280822754,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,0,1.4674072265625,95.71776580810547,0,27.460784912109375,0,0,0,61.087432861328125,0,1.96612548828125,0,0,0,0,0,17089679360,11274289152,6885396480,0
200,1738831425165,3835.501022338867,3200,1,0.99375,59514.35948181152,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,12.55670166015625,0.37548065185546875,61.35750198364258,0,4.943809509277344,0.05249786376953125,1.9622116088867188,0.9440994262695313,0.7628631591796875,50.654170989990234,16.491653442382813,2.49969482421875,14.865638732910156,0.17946624755859375,5.51287841796875,33.55122375488281,17089679360,11274289152,6924759040,0
200,1738831425366,5117.489181518555,3200,1,0.9875,59518.85250854492,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,12.304420471191406,9.161781311035156,45.513031005859375,0.23549652099609375,25.742080688476563,0.10207366943359375,6.8900146484375,0.8409194946289063,0.7818603515625,76.55504608154297,15.475120544433594,13.310577392578125,31.936599731445313,0,10.773460388183594,11.264862060546875,17089679360,11274289152,6930583552,0
200,1738831425567,2597.823226928711,3200,1,0.9812500000000001,59524.44664001465,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.239181518554688,67.15718841552734,24.10401153564453,0.699249267578125,17.9498291015625,1.7900238037109375,6.890655517578125,6.593780517578125,3.6191635131835938,76.66919708251953,72.96369934082031,5.9338836669921875,87.77099609375,1.5896835327148438,16.95751190185547,2.2588348388671875,17089679360,11274289152,6962651136,0
200,1738831425768,4842.391265869141,3200,1,0.9875,59529.82810974121,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,29.360275268554688,51.766990661621094,22.68407440185547,0.2093048095703125,14.401031494140625,1.0087738037109375,10.706893920898438,10.406242370605469,2.9159698486328125,73.51368713378906,72.13865661621094,6.8863067626953125,69.95121002197266,0.9173202514648438,21.467697143554688,2.859466552734375,17089679360,11274289152,6974726144,0
200,1738831425969,3836.2957611083984,3200,1,0.9875,59534.43640136719,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.565574645996094,43.15060806274414,16.36449432373047,0.0529022216796875,8.272720336914063,0.3766021728515625,15.402435302734375,5.087760925292969,0.8006057739257813,71.73323059082031,46.267364501953125,0.7181015014648438,41.44585418701172,0.48329925537109375,16.82209014892578,4.613609313964844,17089679360,11274289152,6990700544,0
200,1738831426170,5118.416534423828,3200,1,0.99375,59539.27333068848,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,40.96109390258789,7.8372802734375,17.356231689453125,3.0383758544921875,11.645545959472656,15.966392517089844,6.96136474609375,7.233848571777344,17.5772705078125,68.09527587890625,54.90168762207031,0.763824462890625,19.450531005859375,0.37068939208984375,5.608695983886719,13.869552612304688,17089679360,11274289152,7021297664,0
200,1738831426371,3033.3450622558594,3200,1,0.99375,59542.97149658203,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,10.104454040527344,1.7480087280273438,16.09638214111328,0.066619873046875,6.570487976074219,0.0716400146484375,5.155662536621094,6.2217254638671875,1.6129302978515625,60.74415588378906,22.450950622558594,1.363433837890625,23.439605712890625,0.9344253540039063,3.4904403686523438,6.621726989746094,17089679360,11274289152,7070175232,0
200,1738831426572,5118.810653686523,3200,1,0.9875,59547.290939331055,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.754539489746094,0.405914306640625,13.926071166992188,0.7206268310546875,3.709747314453125,30.445159912109375,8.696670532226563,12.591300964355469,8.047576904296875,49.082618713378906,39.790771484375,2.9517898559570313,14.899032592773438,0.23078155517578125,13.198623657226563,14.525627136230469,17089679360,11274289152,7089557504,0
200,1738831426773,3240.8775787353516,3200,1,0.9875,59551.92253112793,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,18.89313507080078,1.7473907470703125,12.400527954101563,1.9062423706054688,54.04257583618164,2.8813323974609375,10.373588562011719,6.620811462402344,0.0531463623046875,82.28270721435547,49.55370330810547,5.9270172119140625,17.30304718017578,0.47389984130859375,7.0561065673828125,10.191688537597656,17089679360,11274289152,7052013568,0
200,1738831426973,5119.147186279297,3200,1,0.9875,59556.198791503906,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,21.257530212402344,1.9048919677734375,8.4539794921875,0,13.374153137207031,1.3461685180664063,7.8710479736328125,5.324440002441406,0.7156295776367188,70.37544250488281,33.26927185058594,3.1710281372070313,18.071311950683594,0.4944305419921875,17.86298370361328,2.4223251342773438,17089679360,11274289152,7025762304,0
200,1738831427175,5119.348541259766,3200,1,0.99375,59561.24513244629,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,19.242477416992188,7.662994384765625,13.689643859863281,1.1975784301757813,12.819068908691406,31.24793243408203,7.250984191894531,12.227005004882813,43.27688217163086,14.522064208984375,66.13680267333984,3.789794921875,35.913848876953125,0.8490219116210938,24.873321533203125,19.2747802734375,17089679360,11274289152,7018180608,0
200,1738831427375,5119.467330932617,3200,1,0.99375,59564.96484375,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,11.891677856445313,0.930267333984375,7.3315887451171875,0.25994873046875,5.2470245361328125,0.36102294921875,2.5861053466796875,5.489860534667969,1.569244384765625,57.38080596923828,40.67445373535156,0.37012481689453125,14.413375854492188,0.31769561767578125,4.194541931152344,3.9440994262695313,17089679360,11274289152,7014416384,0
200,1738831427577,3034.4974365234375,3200,1,0.9875,59569.14164733887,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,9.840293884277344,0.5566635131835938,16.630691528320313,0.26114654541015625,3.0662155151367188,26.37958526611328,17.09929656982422,4.6094512939453125,2.13616943359375,57.6981315612793,50.28783416748047,0.8789520263671875,17.19989013671875,0.6198501586914063,6.292633056640625,6.275321960449219,17089679360,11274289152,7015120896,0
200,1738831427778,5119.80158996582,3200,1,0.99375,59573.13948059082,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,8.548797607421875,0.7325363159179688,10.396499633789063,0.44427490234375,4.800270080566406,3.3842086791992188,9.291534423828125,5.412101745605469,0.936065673828125,79.06546020507813,41.59415817260742,1.8996429443359375,24.76665496826172,0.529998779296875,2.7982406616210938,5.8077239990234375,17089679360,11274289152,7026442240,0
200,1738831427978,3242.143096923828,3200,1,0.9875,59576.9059753418,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,14.977790832519531,0.25518798828125,6.895530700683594,0,5.705963134765625,0.20870208740234375,5.159034729003906,4.271781921386719,0.32741546630859375,84.32025146484375,14.12933349609375,0.6126174926757813,8.553192138671875,0,12.787521362304688,5.6439056396484375,17089679360,11274289152,7027953664,0
200,1738831428179,2603.3265228271484,3200,1,0.9875,59582.36918640137,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,26.329986572265625,66.912353515625,25.775657653808594,1.2035598754882813,8.67218017578125,22.28668975830078,11.41363525390625,8.783729553222656,3.7439651489257813,76.00167846679688,58.48261642456055,2.0606765747070313,41.25724411010742,1.5211410522460938,11.255592346191406,14.0380859375,17089679360,11274289152,7036743680,0
